Muestreo;Area_dialecta;COSERID;EjemploID;Tipo;Pron_reflexivo;Verbo;Tipo_semantico;Tipo_sintactico;Aspectualidades;Persona_verbal;Animacion_sujeto;Tiempo_verbal;Complemento_temporal;Exageracion_esfuerzo_extra;Otro_complemento;Tipo_complemento;Posicion_respevbo_complemento;Posicion_respverbo_temporal;Posicion_respotros_temporal;Foco
No_exhaustivo2017;Resto;3109;3109128;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Impersonal;pasado_imperfecto;;exagerado;si;gerundio;pospuesto;pospuesto;antepuesto;
No_exhaustivo2017;Resto;3109;3109177;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_perfecto;;;si;locativo;pospuesto;pospuesto;pospuesto;
No_exhaustivo2017;Resto;304;304031;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3pl;Humano;pasado_imperfecto;;toda;si;gerundio;pospuesto;pospuesto;antepuesto;
No_exhaustivo2017;Resto;304;304079;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3pl;Humano;presente;;toda;si;locativo;pospuesto;pospuesto;antepuesto;
No_exhaustivo2017;Resto;1838;1838118;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;exagerado;si;modo;pospuesto;pospuesto;antepuesto;
No_exhaustivo2017;Resto;1838;1838120;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3pl;Humano;pasado_imperfecto;;;si;locativo;antepuesto;pospuesto;;
No_exhaustivo2017;Resto;3814;3814090;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;poder;si;gerundio;pospuesto;pospuesto;antepuesto;
No_exhaustivo2017;Resto;425;425022;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;exagerado;si;gerundio;pospuesto;antepuesto;;
No_exhaustivo2017;Resto;425;425115;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3pl;Inanimado;pasado_imperfecto;;a_lo_mejor;si;locativo;antepuesto;pospuesto;;
No_exhaustivo2017;Resto;425;425150;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_perfecto;;toda;si;locativo;pospuesto;pospuesto;pospuesto;
No_exhaustivo2017;Resto;425;425161;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1sg;Humano;pluscuamperfecto;;toda;si;locativo;pospuesto;pospuesto;antepuesto;
No_exhaustivo2017;Resto;425;425176;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1sg;Humano;pasado_imperfecto;;toda;no;;;pospuesto;;
No_exhaustivo;Resto;106;106079;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3sg;Inanimado;presente;duracion;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;204;204264;Verbo_se;Si;estar;NA;Intransitivo;Temporal;1sg;Humano;pasado_perfecto;duracion;;si;locativo;pospuesto;pospuesto;pospuesto;tiempo
Exhaustivo;Resto;211;211159;Verbo_se;No;estar;NA;Intransitivo;Temporal;3sg;Humano;presente;duracion;;si;locativo;pospuesto;antepuesto;;otro
No_exhaustivo;Resto;222;222621;Verbo_se;Si;estar;NA;Intransitivo;Temporal;1sg;Humano;presente;duracion;;si;locativo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;404;404452;Verbo_se;No;estar;NA;Intransitivo;Temporal;3sg;Inanimado;presente;duracion;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;404;404475;Verbo_se;No;estar;NA;Intransitivo;Temporal;1pl;Humano;pasado_perfecto;puntual;;si;locativo;pospuesto;antepuesto;;otro
Exhaustivo;Resto;404;404698;Verbo_se;Si;estar;NA;Intransitivo;Temporal;1pl;Humano;pasado_imperfecto;duracion;;si;locativo;pospuesto;antepuesto;;otro
No_exhaustivo;Resto;607;607171;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3pl;Humano;presente;duracion;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;723;723524;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3sg;Humano;presente;duracion;;si;locativo;pospuesto;pospuesto;pospuesto;tiempo
No_exhaustivo;Resto;728;728509;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3pl;Humano;pasado_imperfecto;duracion;;si;locativo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;922;922125;Verbo_se;No;estar;NA;Intransitivo;Temporal;3sg;Inanimado;pasado_imperfecto;duracion;;si;locativo;antepuesto;pospuesto;;tiempo
Exhaustivo;Resto;922;922496;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3pl;Humano;pasado_imperfecto;duracion;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;959;959239;Verbo_se;Si;estar;NA;Intransitivo;Temporal;1sg;Humano;pasado_perfecto;duracion;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;959;959240;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3sg;Humano;pasado_perfecto;duracion;;si;locativo;pospuesto;pospuesto;pospuesto;tiempo
No_exhaustivo;Resto;1012;1012382;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3pl;Humano;presente;duracion;;si;locativo;pospuesto;pospuesto;pospuesto;tiempo
No_exhaustivo;Resto;1014;1014044;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3sg;Humano;pasado_imperfecto;duracion;;si;locativo;pospuesto;pospuesto;pospuesto;tiempo
No_exhaustivo;Resto;1015;1015373;Verbo_se;Si;estar;NA;Intransitivo;Temporal;1pl;Humano;pasado_perfecto;duracion;;si;gerundio;pospuesto;pospuesto;pospuesto;tiempo
Exhaustivo;Resto;1107;1107340;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3pl;Humano;presente;duracion;;si;locativo;pospuesto;pospuesto;pospuesto;tiempo
Exhaustivo;Resto;1205;1205378;Verbo_se;No;estar;NA;Intransitivo;Temporal;1sg;Humano;presente_perfecto;puntual;;si;locativo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;1232;1232207;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3pl;Humano;presente;duracion;;si;modo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;1404;1404010;Verbo_se;No;estar;NA;Intransitivo;Temporal;3sg;Humano;presente;duracion;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;1603;1603145;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3pl;Humano;presente;duracion;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;1607;1607600;Verbo_se;Si;estar;NA;Intransitivo;Temporal;1sg;Humano;presente;ambiguo;;si;locativo;pospuesto;pospuesto;pospuesto;tiempo
Exhaustivo;Resto;1834;1834207;Verbo_se;Si;estar;NA;Intransitivo;Temporal;1sg;Humano;pasado_imperfecto;duracion;;si;comitativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;1901;1901070;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3sg;Humano;presente;duracion;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;2206;2206261;Verbo_se;Si;estar;NA;Intransitivo;Temporal;1pl;Humano;pasado_perfecto;duracion;;si;locativo;pospuesto;pospuesto;pospuesto;tiempo
Exhaustivo;Resto;2229;2229448;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3pl;Humano;presente;duracion;;si;locativo;antepuesto;pospuesto;;tiempo
No_exhaustivo;Resto;2303;2303128;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3sg;Inanimado;pasado_imperfecto;duracion;;si;modo;antepuesto;pospuesto;;tiempo
No_exhaustivo;Resto;2321;2321030;Verbo_se;Si;estar;NA;Intransitivo;Temporal;2sg;Humano;presente;duracion;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;2321;2321034;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3pl;Humano;pasado_imperfecto;duracion;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;2637;2637036;Verbo_se;No;estar;NA;Intransitivo;Temporal;2sg;Humano;presente;puntual;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;2914;2914286;Verbo_se;Si;estar;NA;Intransitivo;Temporal;2sg;Humano;presente;duracion;;si;locativo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;310;3100667;Verbo_se;No;estar;NA;Intransitivo;Temporal;3pl;Humano;presente_perfecto;duracion;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;310;3100792;Verbo_se;Si;estar;NA;Intransitivo;Temporal;1sg;Humano;pasado_imperfecto;duracion;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;3203;3203410;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3pl;Humano;pasado_perfecto;duracion;;si;modo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;3423;3423406;Verbo_se;No;estar;NA;Intransitivo;Temporal;1sg;Humano;presente;duracion;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;3610;3610027;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3pl;Humano;pasado_imperfecto;duracion;;si;gerundio;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;3712;3712381;Verbo_se;Si;estar;NA;Intransitivo;Temporal;1sg;Humano;presente;duracion;;si;locativo;pospuesto;pospuesto;pospuesto;tiempo
Exhaustivo;Resto;3806;3806491;Verbo_se;Si;estar;NA;Intransitivo;Temporal;1sg;Humano;pasado_imperfecto;duracion;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;3806;3806506;Verbo_se;No;estar;NA;Intransitivo;Temporal;1sg;Humano;pasado_imperfecto;duracion;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;3916;3916397;Verbo_se;No;estar;NA;Intransitivo;Temporal;3sg;Humano;condicional;puntual;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;3923;3923233;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3sg;Humano;presente;duracion;;no;;;duda;;tiempo
No_exhaustivo;Resto;3924;3924298;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3sg;Humano;pasado_imperfecto;duracion;;no;;;antepuesto;;tiempo
Exhaustivo;Resto;4102;4102206;Verbo_se;No;estar;NA;Intransitivo;Temporal;3pl;Humano;pasado_perfecto;puntual;;no;;;antepuesto;;tiempo
Exhaustivo;Resto;4206;4206128;Verbo_se;No;estar;NA;Intransitivo;Temporal;1pl;Humano;pasado_imperfecto;puntual;;si;locativo;antepuesto;pospuesto;;tiempo
Exhaustivo;Resto;4206;4206133;Verbo_se;Si;estar;NA;Intransitivo;Temporal;1pl;Humano;pasado_imperfecto;duracion;;interrumpido;;;;;interrumpido
No_exhaustivo;Resto;4227;4227268;Verbo_se;Si;estar;NA;Intransitivo;Temporal;1sg;Humano;pasado_imperfecto;duracion;;si;comitativo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;4504;4504132;Verbo_se;No;estar;NA;Intransitivo;Temporal;1sg;Humano;pasado_perfecto;duracion;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;4611;4611057;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3pl;Humano;pasado_imperfecto;duracion;;si;locativo;antepuesto;pospuesto;;tiempo
Exhaustivo;Resto;1307;13070110;Verbo_se;No;estar;NA;Intransitivo;Temporal;3pl;Humano;pasado_imperfecto;puntual;;no;;;duda;;tiempo
Exhaustivo;Resto;1307;13071074;Verbo_se;No;estar;NA;Intransitivo;Temporal;3pl;Humano;pasado_perfecto;duracion;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;2907;29070034;Verbo_se;Si;estar;NA;Intransitivo;Temporal;3sg;Inanimado;pasado_imperfecto;duracion;;si;modo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;4310;43100500;Verbo_se;No;estar;NA;Intransitivo;Temporal;1pl;Humano;pasado_perfecto;duracion;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo2017;Resto;1102;1102056;Verbo_se;Si;estar;NA;Intransitivo;Temporal;;Humano;;duracion;;no;;;pospuesto;;tiempo
